,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000018883,1.460456402,4.231297177,2.738840315,0.015476728,0.198782738,-3.339745933,ns
ENSSSCT00000094344,-1.382581265,5.047122045,-2.768962076,0.014573685,0.19345143,-3.339924662,ns
ENSSSCT00000089721,-1.498566998,4.599097389,-2.7729665,0.014457559,0.19345143,-3.342887279,ns
ENSSSCT00000093772,-1.276723019,4.668148167,-2.768990877,0.014572847,0.19345143,-3.343503057,ns
ENSSSCT00000057161,1.226058027,5.357817145,2.702441275,0.016640561,0.205042841,-3.347952715,ns
ENSSSCT00000007099,1.00557583,5.441599542,2.706863683,0.016494756,0.204653777,-3.34920605,ns
ENSSSCT00000014157,0.868404491,3.879554041,2.814592135,0.013302527,0.188837262,-3.349216566,ns
ENSSSCT00000017966,0.440596095,7.382419917,3.175094209,0.006429909,0.144358701,-3.350264325,ns
ENSSSCT00000074137,0.6623072,6.87025577,3.043458817,0.00839288,0.157123126,-3.352333072,ns
ENSSSCT00000101194,-1.4964641,4.619342211,-2.768111165,0.014598478,0.19345143,-3.353646786,ns
ENSSSCT00000024443,1.19790092,5.10229679,2.677666356,0.017480736,0.208899165,-3.353800427,ns
ENSSSCT00000052736,1.119066247,4.094917271,2.745197761,0.01528172,0.19810948,-3.354166669,ns
ENSSSCT00000051447,-1.524673612,4.697027878,-2.76577185,0.014666849,0.193927135,-3.357341286,ns
ENSSSCT00000012021,0.674133541,6.80787725,3.023504093,0.008738105,0.160242442,-3.358696707,ns
ENSSSCT00000060512,0.526195453,7.089943754,3.094889629,0.007563906,0.153029739,-3.361647621,ns
ENSSSCT00000098675,-1.29743381,4.932405242,-2.742663226,0.015359177,0.198395827,-3.361936098,ns
ENSSSCT00000087591,0.836629025,3.90322736,2.798897605,0.013727062,0.190794444,-3.3624916,ns
ENSSSCT00000079606,0.938678481,3.938175033,2.785562457,0.014098118,0.191473655,-3.364083112,ns
ENSSSCT00000077355,0.7842293,6.89308997,3.039406912,0.008461874,0.157919725,-3.366325731,ns
ENSSSCT00000088701,0.5490274,6.604615037,2.97096058,0.009715409,0.16850074,-3.369404224,ns
ENSSSCT00000003167,-1.04426544,5.996500273,-2.773819263,0.014432946,0.19345143,-3.373133036,ns
ENSSSCT00000008143,0.753445689,3.822759421,2.823190831,0.013075388,0.188008548,-3.373980585,ns
ENSSSCT00000007457,0.633086979,6.575300595,2.957287002,0.009986877,0.170191222,-3.374748376,ns
ENSSSCT00000065734,-2.00044641,5.404927603,-2.784603773,0.014125167,0.191473655,-3.376002634,ns
ENSSSCT00000078521,0.594142196,6.741823375,3.000894414,0.009146181,0.163699285,-3.377149858,ns
ENSSSCT00000014821,1.285670159,4.464435099,2.691180256,0.017017488,0.207404976,-3.378330503,ns
ENSSSCT00000028534,0.812273853,6.357803491,2.891442938,0.011401867,0.177940636,-3.379516999,ns
ENSSSCT00000006227,0.748923711,6.819601067,3.015507222,0.008880347,0.160960608,-3.379559147,ns
ENSSSCT00000015570,1.333447656,4.570077831,2.687651949,0.017137278,0.207749999,-3.382144835,ns
ENSSSCT00000052738,0.600947216,7.151002686,3.098102742,0.007514888,0.153029739,-3.383760715,ns
ENSSSCT00000013575,1.094904988,4.017657646,2.748344435,0.015186084,0.197728112,-3.384960635,ns
ENSSSCT00000058328,-1.605864189,4.893059116,-2.777312494,0.014332545,0.193221127,-3.385459752,ns
ENSSSCT00000067725,-1.157425741,4.811804505,-2.716929384,0.016167494,0.20260971,-3.387182804,ns
ENSSSCT00000069483,-0.923006038,6.107377044,-2.790536951,0.013958573,0.191356245,-3.389901414,ns
ENSSSCT00000012970,-2.128152935,5.392501423,-2.803564911,0.013599452,0.190242518,-3.393252578,ns
ENSSSCT00000047303,1.047220367,4.558105635,2.66154944,0.018049164,0.210711419,-3.393290626,ns
ENSSSCT00000042766,0.462458825,7.06831758,3.074361199,0.007884621,0.15429033,-3.394637915,ns
ENSSSCT00000064491,1.067959479,4.004240476,2.746425111,0.015244348,0.197954144,-3.396380434,ns
ENSSSCT00000053055,0.64897839,6.381213148,2.892332891,0.011381492,0.177932648,-3.397395761,ns
ENSSSCT00000098220,-2.489966676,5.403474866,-2.867154218,0.011971924,0.181150824,-3.39899121,ns
ENSSSCT00000059829,1.400910531,5.065599889,2.670944831,0.017715663,0.209677163,-3.400095913,ns
ENSSSCT00000088588,0.610992213,6.934101027,3.035700021,0.008525483,0.158019823,-3.401504116,ns
ENSSSCT00000103011,1.208933857,4.373241112,2.684738769,0.017236797,0.208236319,-3.401595957,ns
ENSSSCT00000102722,-2.084775884,5.423551209,-2.784911289,0.014116485,0.191473655,-3.4026617,ns
ENSSSCT00000037979,0.777907004,6.29610713,2.865288526,0.012016847,0.18137204,-3.403181375,ns
ENSSSCT00000050545,0.474370033,7.708975099,3.234404307,0.005701315,0.137196067,-3.403425407,ns
ENSSSCT00000000720,-1.26172861,4.426581137,-2.716138444,0.01619298,0.20260971,-3.403475928,ns
ENSSSCT00000006953,1.112674862,4.435876168,2.672400743,0.017664519,0.209677163,-3.403873518,ns
ENSSSCT00000072445,0.552748806,6.728106727,2.984405198,0.00945556,0.166084123,-3.403910815,ns
ENSSSCT00000023900,-1.978103314,4.865460893,-2.804941455,0.013562037,0.189977813,-3.404994471,ns
ENSSSCT00000023051,0.56817346,6.82471006,3.006958418,0.009034928,0.162519856,-3.405399901,ns
ENSSSCT00000061422,0.566898649,6.78980017,2.997715289,0.009205044,0.164196291,-3.407596211,ns
ENSSSCT00000056533,-0.772185191,6.101371497,-2.785193328,0.014108527,0.191473655,-3.409278612,ns
ENSSSCT00000048687,1.044647456,4.200937201,2.699783487,0.016728787,0.205721735,-3.411965519,ns
ENSSSCT00000061349,-1.231054354,4.414721835,-2.707967539,0.016458556,0.204629765,-3.414366381,ns
ENSSSCT00000023476,-0.927911967,4.456765152,-2.691992043,0.016990042,0.207352582,-3.416995632,ns
ENSSSCT00000048034,0.823892721,3.884979869,2.776542506,0.014354617,0.193221127,-3.417680939,ns
ENSSSCT00000029353,0.575880891,6.968195708,3.036137528,0.008517951,0.158019823,-3.417834443,ns
ENSSSCT00000066725,0.769558619,3.858320688,2.78645143,0.014073082,0.191473655,-3.417940628,ns
ENSSSCT00000045394,0.846947771,6.484670054,2.89864866,0.011237917,0.177234617,-3.419298888,ns
ENSSSCT00000001064,0.513548127,6.918700472,3.021255465,0.008777873,0.160637774,-3.425462079,ns
ENSSSCT00000077961,1.009457112,4.045875331,2.718216499,0.016126103,0.20260971,-3.426107212,ns
ENSSSCT00000096743,-1.295109095,5.236017804,-2.694029779,0.016921336,0.206812879,-3.429738871,ns
ENSSSCT00000050903,0.448669449,7.215893771,3.092435928,0.007601551,0.153029739,-3.430661704,ns
ENSSSCT00000048117,0.605639884,6.592625102,2.935233033,0.010440494,0.172239303,-3.431277058,ns
ENSSSCT00000042062,0.630941944,6.760536961,2.977740451,0.009583506,0.167021498,-3.431577571,ns
ENSSSCT00000071746,-1.295734567,5.20952249,-2.689318712,0.017080588,0.207749999,-3.433176767,ns
ENSSSCT00000003832,-2.653517047,5.585231233,-2.812649799,0.013354365,0.188837262,-3.433409972,ns
ENSSSCT00000078636,-1.131701679,5.092981383,-2.677449583,0.017488265,0.208899165,-3.435378615,ns
ENSSSCT00000078981,0.569021267,6.773051443,2.978539273,0.009568082,0.167021498,-3.437560164,ns
ENSSSCT00000052697,0.909683275,5.755626788,2.711341653,0.016348381,0.203825741,-3.438292032,ns
ENSSSCT00000063304,-1.61632147,4.728062918,-2.739862942,0.015445198,0.198782738,-3.438331022,ns
ENSSSCT00000023939,0.540116337,7.050916614,3.046907053,0.008334601,0.156687007,-3.438411702,ns
ENSSSCT00000016644,0.778324197,6.6679219,2.945117649,0.010234735,0.170943471,-3.438932913,ns
ENSSSCT00000097202,0.623752219,6.553693663,2.91897862,0.010787699,0.174433583,-3.439405384,ns
ENSSSCT00000056710,1.19105624,5.210009452,2.636600108,0.018964461,0.215051824,-3.439885856,ns
ENSSSCT00000062998,-1.392112525,4.551362918,-2.709478064,0.016409144,0.204298975,-3.44334811,ns
ENSSSCT00000064084,0.440533899,7.54957857,3.17150508,0.006476851,0.144687354,-3.44402151,ns
ENSSSCT00000048036,0.575020746,6.813587713,2.985909595,0.009426912,0.16574343,-3.444150931,ns
ENSSSCT00000067282,0.666361342,6.546356067,2.911069427,0.010960713,0.175847357,-3.447220627,ns
ENSSSCT00000059389,-1.376233408,4.486562542,-2.70248579,0.016639087,0.205042841,-3.451067396,ns
ENSSSCT00000081922,1.109441847,4.852086561,2.623578978,0.019459774,0.216681985,-3.451454908,ns
ENSSSCT00000051312,1.391292981,5.20099995,2.637605049,0.018926743,0.215023161,-3.453853141,ns
ENSSSCT00000061178,1.136604118,6.038350554,2.755433128,0.014972763,0.195905647,-3.454233466,ns
ENSSSCT00000051382,0.70930564,6.767029311,2.965547737,0.009821995,0.169683409,-3.455286206,ns
ENSSSCT00000007451,-1.283557353,5.033190755,-2.689857725,0.017062294,0.207749999,-3.455803626,ns
ENSSSCT00000077520,-1.041307598,4.566427253,-2.679302784,0.017423998,0.208687336,-3.456102055,ns
ENSSSCT00000041267,0.41168516,7.472980945,3.145471744,0.006827658,0.147913319,-3.456748577,ns
ENSSSCT00000018075,-0.930272777,4.275754566,-2.668157946,0.017813961,0.209677163,-3.461247502,ns
ENSSSCT00000029135,0.574560689,6.674958435,2.940868606,0.010322691,0.171400683,-3.461826979,ns
ENSSSCT00000057682,0.410311871,7.786363197,3.226971179,0.00578793,0.138262075,-3.463395353,ns
ENSSSCT00000052270,0.713479806,6.530427266,2.896973366,0.011275828,0.177299947,-3.464834812,ns
ENSSSCT00000032409,0.605587072,6.992050977,3.017706589,0.008841001,0.160960608,-3.465242921,ns
ENSSSCT00000051632,0.536269879,7.363901334,3.111855051,0.007308611,0.150853763,-3.465582585,ns
ENSSSCT00000014395,-1.678155902,4.709498164,-2.733764541,0.015634153,0.199787084,-3.469444018,ns
ENSSSCT00000072391,-1.150546736,4.89842264,-2.669711696,0.017759093,0.209677163,-3.469680505,ns
ENSSSCT00000008603,1.415436914,5.483826482,2.653786571,0.018329285,0.211726288,-3.471606695,ns
ENSSSCT00000056696,0.450267666,7.972572637,3.275118804,0.005249252,0.134252899,-3.473034202,ns
ENSSSCT00000040657,-2.037122993,5.212193413,-2.79948331,0.013710984,0.190755755,-3.476792249,ns
ENSSSCT00000010082,0.648434058,7.019349867,3.014793627,0.00889315,0.160960608,-3.482556009,ns
ENSSSCT00000002543,-1.64412179,4.685029835,-2.72058269,0.016050278,0.20250478,-3.482565463,ns
ENSSSCT00000038344,0.753152271,6.275099257,2.816068981,0.013263244,0.188837262,-3.484109366,ns
ENSSSCT00000090020,0.517706491,7.138866547,3.045724575,0.008354541,0.156732943,-3.484146448,ns
ENSSSCT00000062586,0.578346826,6.867664407,2.97555571,0.009625817,0.167433147,-3.488979909,ns
ENSSSCT00000059658,-2.40219109,5.516784852,-2.778333546,0.014303327,0.193111084,-3.48950814,ns
ENSSSCT00000080455,1.058381659,4.051694996,2.682131262,0.017326349,0.208517769,-3.490549248,ns
ENSSSCT00000099364,0.309697628,7.789009466,3.214479069,0.005936449,0.139762247,-3.490905608,ns
ENSSSCT00000027813,0.851917158,6.506710642,2.868369632,0.011942748,0.18086751,-3.49161527,ns
ENSSSCT00000048030,-1.248529554,4.492500037,-2.668162695,0.017813793,0.209677163,-3.49334457,ns
ENSSSCT00000058859,0.941095167,6.492539146,2.859372218,0.012160393,0.181908806,-3.494372292,ns
ENSSSCT00000069922,0.600737844,6.611027028,2.908822318,0.011010362,0.175969356,-3.494436131,ns
ENSSSCT00000079052,0.46461857,7.082223305,3.02630783,0.008688767,0.15998762,-3.496267956,ns
ENSSSCT00000017170,0.453123074,7.207914985,3.056865099,0.008168532,0.156450706,-3.496885962,ns
ENSSSCT00000022923,0.500056785,7.34688259,3.091920004,0.00760949,0.153029739,-3.497291962,ns
ENSSSCT00000030765,0.623800433,6.962512268,2.99390924,0.009276006,0.164543483,-3.498018743,ns
ENSSSCT00000027406,1.096734189,4.361171974,2.628414908,0.019274381,0.215959855,-3.499244651,ns
ENSSSCT00000052490,0.905656855,5.845308777,2.696936225,0.016823804,0.206086917,-3.500061358,ns
ENSSSCT00000000815,-0.938922374,5.980709257,-2.707521818,0.016473164,0.204646379,-3.500373014,ns
ENSSSCT00000014591,1.303744684,5.440870629,2.628420641,0.019274162,0.215959855,-3.500536618,ns
ENSSSCT00000085298,1.182006005,4.782006205,2.600142292,0.020382859,0.221589383,-3.50181772,ns
ENSSSCT00000099931,0.709768689,6.319009399,2.818986669,0.013185967,0.188837262,-3.502629813,ns
ENSSSCT00000009134,-1.517059908,4.728732257,-2.688805761,0.017098015,0.207749999,-3.503953665,ns
ENSSSCT00000095604,0.537303113,6.760209681,2.941486446,0.010309856,0.171346363,-3.504244394,ns
ENSSSCT00000099108,-1.961127548,5.399382847,-2.721228958,0.016029629,0.20250478,-3.505126056,ns
ENSSSCT00000068855,0.993250564,4.233868499,2.640908332,0.018803272,0.214027586,-3.507650111,ns
ENSSSCT00000007456,0.689524396,3.838354517,2.746316889,0.01524764,0.197954144,-3.508661758,ns
ENSSSCT00000072367,-1.884659819,5.405404496,-2.693988261,0.016922733,0.206812879,-3.51033955,ns
ENSSSCT00000096661,0.770389295,3.903693509,2.719358654,0.016089459,0.20260971,-3.512592535,ns
ENSSSCT00000101895,1.693047516,5.374402479,2.626550522,0.019345653,0.216352505,-3.513387684,ns
ENSSSCT00000044667,0.544744755,6.863014314,2.961611255,0.00990023,0.169709468,-3.51538372,ns
ENSSSCT00000030523,0.612110489,7.193476053,3.040730436,0.008439276,0.157663608,-3.516340021,ns
ENSSSCT00000050994,-0.987125707,5.727305073,-2.660550408,0.018084981,0.210935043,-3.517070676,ns
ENSSSCT00000037738,0.712476943,3.838484015,2.741286074,0.015401423,0.198782738,-3.518089115,ns
ENSSSCT00000047007,0.549832157,6.949495654,2.980556562,0.009529238,0.166887412,-3.519329525,ns
ENSSSCT00000012042,0.551271378,7.192953727,3.040726098,0.00843935,0.157663608,-3.520208736,ns
ENSSSCT00000016569,-1.301402515,4.463436598,-2.658447499,0.018160598,0.211276146,-3.520372167,ns
ENSSSCT00000055529,-2.062382159,5.015760167,-2.733197487,0.015651837,0.199870497,-3.520601921,ns
ENSSSCT00000047565,0.571883982,6.517865862,2.869248095,0.011921703,0.180701547,-3.521293587,ns
ENSSSCT00000062343,0.512455148,6.763781379,2.933473733,0.010477538,0.172270454,-3.522697376,ns
ENSSSCT00000028674,0.528851443,7.098360472,3.016129225,0.008869202,0.160960608,-3.522783427,ns
ENSSSCT00000066940,0.892053251,6.065498696,2.735194911,0.015589634,0.199609604,-3.52295931,ns
ENSSSCT00000093973,-1.838762756,5.233360287,-2.705525455,0.016538746,0.204797294,-3.524128913,ns
ENSSSCT00000003084,-2.041689341,5.389461068,-2.753025807,0.015044879,0.196317586,-3.527567702,ns
ENSSSCT00000015795,0.730610204,3.85093053,2.73135613,0.015709393,0.200181507,-3.527709373,ns
ENSSSCT00000079582,1.036188865,3.981233248,2.683212806,0.01728915,0.208517769,-3.528892928,ns
ENSSSCT00000003615,-1.501523034,4.648623008,-2.679277691,0.017424866,0.208687336,-3.528894753,ns
ENSSSCT00000058503,0.953685629,3.920759735,2.703927166,0.016591433,0.204860177,-3.529802353,ns
ENSSSCT00000064730,-1.478783241,4.73217378,-2.686594119,0.017173351,0.207749999,-3.531423006,ns
ENSSSCT00000085508,-1.120470329,4.542801298,-2.647810638,0.018547779,0.213001146,-3.53173543,ns
ENSSSCT00000050571,0.513669549,7.105036029,3.013228626,0.008921293,0.160960608,-3.532182291,ns
ENSSSCT00000046860,1.154933478,5.526300257,2.620110365,0.019593806,0.217400408,-3.533742897,ns
ENSSSCT00000044496,0.699474906,6.613014241,2.884110478,0.011571103,0.178583971,-3.533955613,ns
ENSSSCT00000024573,1.601602605,5.616367626,2.634549391,0.019041654,0.215101052,-3.535788045,ns
ENSSSCT00000050786,0.606408595,6.886856913,2.956115436,0.01001048,0.170191222,-3.53660533,ns
ENSSSCT00000106684,1.428632358,4.910202033,2.60040959,0.020372097,0.221589383,-3.536908005,ns
ENSSSCT00000001339,0.928137716,5.524092915,2.616124899,0.019748908,0.218273554,-3.537068979,ns
ENSSSCT00000017680,0.562912488,6.87755293,2.953265113,0.010068133,0.170191222,-3.537756557,ns
ENSSSCT00000038406,0.667261737,6.4117675,2.827293805,0.012968343,0.187595581,-3.538756772,ns
ENSSSCT00000073004,-1.136019097,4.646190956,-2.644618222,0.018665529,0.213545096,-3.539314363,ns
ENSSSCT00000061806,0.684992537,6.748418455,2.91608737,0.010850632,0.174759186,-3.540898981,ns
ENSSSCT00000036174,0.563523019,6.878768632,2.950912549,0.010115964,0.170434609,-3.543051664,ns
ENSSSCT00000054703,0.583895023,6.928876516,2.961932496,0.009893822,0.169709468,-3.543127287,ns
ENSSSCT00000026450,0.699637266,6.683268661,2.898201894,0.011248015,0.17723785,-3.544420608,ns
ENSSSCT00000030794,0.768454464,6.244786684,2.775974208,0.014370929,0.193295466,-3.547150692,ns
ENSSSCT00000000211,-1.595563235,4.685573997,-2.680334066,0.017388333,0.208659992,-3.547643961,ns
ENSSSCT00000045994,0.805842274,6.917648894,2.948119223,0.010173046,0.17077082,-3.553514026,ns
ENSSSCT00000056468,0.955940098,5.851191027,2.666726872,0.017864642,0.209677163,-3.556810123,ns
ENSSSCT00000051512,-1.455348115,4.571880425,-2.658099938,0.018173124,0.211284684,-3.557586145,ns
ENSSSCT00000024076,0.470209878,7.636263658,3.137360665,0.006940754,0.148493471,-3.55807494,ns
ENSSSCT00000051965,0.976601689,4.02165854,2.654364454,0.018308289,0.211620193,-3.558426147,ns
ENSSSCT00000016976,0.889875473,6.848480013,2.924190355,0.010675158,0.17355365,-3.558903293,ns
ENSSSCT00000027160,0.829996731,5.971424876,2.696786322,0.016828821,0.206086917,-3.559233076,ns
ENSSSCT00000047989,0.938759668,3.940206473,2.679257781,0.017425556,0.208687336,-3.56287815,ns
ENSSSCT00000053781,-1.532843601,4.790470959,-2.654647393,0.018298017,0.211620193,-3.563296511,ns
ENSSSCT00000014851,0.370715298,7.809698191,3.183570556,0.006320382,0.143883047,-3.563808999,ns
ENSSSCT00000056108,0.655519897,7.088501635,2.991234341,0.009326199,0.164781245,-3.563814895,ns
ENSSSCT00000067488,-1.582160293,4.705798478,-2.670106846,0.017745165,0.209677163,-3.564780304,ns
ENSSSCT00000010246,0.866189744,6.265940478,2.764258118,0.014711257,0.194337219,-3.565767022,ns
ENSSSCT00000045929,0.459003571,7.611602346,3.127245828,0.007084391,0.150028314,-3.566038285,ns
ENSSSCT00000022285,-2.428832467,5.49227757,-2.73881623,0.015477471,0.198782738,-3.566964902,ns
ENSSSCT00000057350,-1.083728486,4.364148557,-2.61971254,0.019609235,0.217400408,-3.567641885,ns
ENSSSCT00000065953,0.79358971,3.862686303,2.704574694,0.016570068,0.204797294,-3.569654719,ns
ENSSSCT00000063595,1.085292665,5.291164085,2.568677945,0.021688557,0.226177057,-3.570552218,ns
ENSSSCT00000096889,0.982396375,3.946869857,2.670531997,0.017730191,0.209677163,-3.574748894,ns
ENSSSCT00000093939,0.753218938,6.333325776,2.785945836,0.014087316,0.191473655,-3.57479557,ns
ENSSSCT00000097187,-1.280104809,4.427533622,-2.624791985,0.019413111,0.216501449,-3.575936259,ns
ENSSSCT00000040686,0.914241474,5.596801556,2.605639377,0.020162638,0.220876359,-3.578788667,ns
ENSSSCT00000048698,0.580923535,6.789294327,2.909471111,0.010996005,0.175964483,-3.579600536,ns
ENSSSCT00000065677,1.244546129,4.610949607,2.57352176,0.021482444,0.225530074,-3.581438,ns
ENSSSCT00000064564,-1.076238573,5.046012261,-2.596259155,0.020539815,0.222141826,-3.581836078,ns
ENSSSCT00000049040,0.424231089,7.341814082,3.048141316,0.008313838,0.156687007,-3.582250988,ns
ENSSSCT00000038308,0.632109724,6.177563578,2.739713728,0.015449795,0.198782738,-3.584874214,ns
ENSSSCT00000088346,0.535693993,7.258370249,3.024323089,0.008723664,0.160242442,-3.58547619,ns
ENSSSCT00000061206,0.626056956,6.810123288,2.909279834,0.011000236,0.175964483,-3.586094979,ns
ENSSSCT00000013544,0.798796699,6.875700208,2.922130756,0.010719494,0.173644171,-3.586379415,ns
ENSSSCT00000036850,0.633870254,6.954450415,2.944548411,0.010246476,0.170943471,-3.588545094,ns
ENSSSCT00000058770,0.411434594,7.501425535,3.084879826,0.007718646,0.153183924,-3.591860457,ns
ENSSSCT00000055407,0.720757277,6.460004549,2.810333815,0.013416433,0.18926678,-3.592405177,ns
ENSSSCT00000038716,0.596083934,6.682970615,2.875309085,0.011777489,0.180346572,-3.593612026,ns
ENSSSCT00000004667,0.66262234,6.977307367,2.946786048,0.010200401,0.170794744,-3.594872278,ns
ENSSSCT00000063193,0.438207049,7.530529108,3.089957965,0.007639757,0.153029739,-3.597026546,ns
ENSSSCT00000046182,0.932797108,5.862234805,2.648452272,0.0185242,0.213001146,-3.597502563,ns
ENSSSCT00000002192,-2.605023427,5.604694244,-2.718255076,0.016124864,0.20260971,-3.599293018,ns
ENSSSCT00000044093,0.422527617,7.241214787,3.013595495,0.008914688,0.160960608,-3.600306897,ns
ENSSSCT00000059327,-0.955975232,4.502614951,-2.596456839,0.020531797,0.222141826,-3.600380508,ns
ENSSSCT00000031794,0.335484609,7.846566189,3.17564433,0.006422744,0.144358701,-3.601328471,ns
ENSSSCT00000007885,0.57267384,6.923791212,2.932402942,0.010500148,0.172270454,-3.601839149,ns
ENSSSCT00000002787,0.567846104,6.970727229,2.942950413,0.010279505,0.171253719,-3.603139266,ns
ENSSSCT00000101610,1.248811357,5.533275851,2.583232499,0.021074887,0.224027793,-3.603865544,ns
ENSSSCT00000032815,1.413775743,5.104991713,2.546614516,0.022651644,0.229151246,-3.604204566,ns
ENSSSCT00000054541,0.723284773,6.79968504,2.895863167,0.011301019,0.177299947,-3.607380389,ns
ENSSSCT00000024579,0.484218297,6.936762009,2.932052378,0.010507561,0.172270454,-3.610446795,ns
ENSSSCT00000094199,-1.006827285,4.474541563,-2.591482444,0.020734485,0.222575812,-3.611826597,ns
ENSSSCT00000050327,-0.930258654,4.476680879,-2.586757325,0.020928796,0.223444527,-3.61453435,ns
ENSSSCT00000044973,0.450257568,7.39810099,3.046194305,0.008346615,0.156732943,-3.614647971,ns
ENSSSCT00000027240,-0.979330777,4.305305919,-2.586483035,0.02094013,0.223444527,-3.616276404,ns
ENSSSCT00000017167,0.689426365,3.844779037,2.686626457,0.017172247,0.207749999,-3.616538348,ns
ENSSSCT00000029122,0.428127597,7.022363532,2.950625559,0.010121814,0.170434609,-3.616554313,ns
ENSSSCT00000044977,1.36565133,4.591030474,2.560851592,0.022025599,0.226313321,-3.618093735,ns
ENSSSCT00000093211,0.816172404,6.180924608,2.715396603,0.016216919,0.20260971,-3.618329663,ns
ENSSSCT00000030763,-1.028708199,4.328671364,-2.587742409,0.020888143,0.223288762,-3.618408401,ns
ENSSSCT00000064755,0.60341831,6.534818737,2.819471881,0.013173158,0.188837262,-3.622077983,ns
ENSSSCT00000026600,-1.398619657,4.600887369,-2.615440409,0.019775665,0.218317697,-3.623050521,ns
ENSSSCT00000085588,0.887457991,6.530218326,2.804932874,0.01356227,0.189977813,-3.623464731,ns
ENSSSCT00000095917,-1.51246333,4.627540714,-2.630032474,0.01921275,0.215809168,-3.62391464,ns
ENSSSCT00000046979,0.631635737,6.615581811,2.840793207,0.012622145,0.185255453,-3.624491241,ns
ENSSSCT00000010791,-1.20839818,4.927732097,-2.591826027,0.020720424,0.222558218,-3.626315393,ns
ENSSSCT00000064954,-1.03596898,5.225062122,-2.574711595,0.021432103,0.225416507,-3.629808471,ns
ENSSSCT00000058157,0.913278459,5.781027736,2.612422797,0.019894041,0.219336388,-3.630403696,ns
ENSSSCT00000059436,-2.123490516,5.342219332,-2.698611756,0.016767826,0.205761898,-3.630553835,ns
ENSSSCT00000010170,0.863092794,4.099488263,2.603514895,0.020247475,0.221191321,-3.630829108,ns
ENSSSCT00000013286,1.475559284,4.221631191,2.580910177,0.021171673,0.22476239,-3.632731043,ns
ENSSSCT00000023904,0.975754701,6.23679109,2.716623932,0.016177332,0.20260971,-3.634327172,ns
ENSSSCT00000004472,0.447098342,7.084597751,2.956530014,0.010002121,0.170191222,-3.634620458,ns
ENSSSCT00000079005,-1.33711299,4.452495498,-2.596402727,0.020533992,0.222141826,-3.636223002,ns
ENSSSCT00000074395,-0.839692483,5.812766258,-2.609411856,0.020012835,0.219969292,-3.637204646,ns
ENSSSCT00000049074,-1.973623916,4.968239228,-2.674656237,0.017585569,0.209483414,-3.638464869,ns
ENSSSCT00000050827,1.170248966,6.238820881,2.705782003,0.016530304,0.204797294,-3.638774374,ns
ENSSSCT00000023469,-1.128119826,4.355896652,-2.579739467,0.021220625,0.224963742,-3.639166934,ns
ENSSSCT00000107125,1.200926264,6.158684263,2.682055195,0.017328968,0.208517769,-3.639290647,ns
ENSSSCT00000047862,0.515153008,7.506576871,3.059910668,0.008118396,0.156385269,-3.641725405,ns
ENSSSCT00000026387,-0.982127912,4.296561823,-2.571487726,0.021568766,0.225716124,-3.642280801,ns
ENSSSCT00000027923,0.600038713,6.453387878,2.787945498,0.0140311,0.191473655,-3.642498672,ns
ENSSSCT00000062686,1.166389791,5.741425825,2.595519509,0.020569843,0.222141826,-3.644071596,ns
ENSSSCT00000038248,1.125106937,5.911722456,2.628852127,0.019257704,0.215959855,-3.644812575,ns
ENSSSCT00000005777,-1.335043337,4.58660636,-2.59551405,0.020570065,0.222141826,-3.64578581,ns
ENSSSCT00000037277,-2.262226764,5.515342628,-2.666383279,0.017876831,0.209677163,-3.646526293,ns
ENSSSCT00000050955,0.828683535,3.947562134,2.630658887,0.019188934,0.215809168,-3.648615356,ns
ENSSSCT00000008416,-1.799716418,5.094030458,-2.63018181,0.019207069,0.215809168,-3.649892549,ns
ENSSSCT00000046334,1.26447249,5.95740345,2.632222632,0.019129605,0.215280148,-3.6507664,ns
ENSSSCT00000067899,-1.441918342,4.963508697,-2.592846463,0.020678716,0.222558218,-3.6510151,ns
ENSSSCT00000023761,-0.927455877,4.275750095,-2.564847327,0.021852899,0.226313321,-3.651347228,ns
ENSSSCT00000006641,-1.411287707,4.588403025,-2.602064943,0.020305573,0.221395821,-3.652948659,ns
ENSSSCT00000003597,1.000634889,3.98434593,2.615399294,0.019777273,0.218317697,-3.653141022,ns
ENSSSCT00000089749,0.570603439,6.648311085,2.835908685,0.012746357,0.186306075,-3.653574956,ns
ENSSSCT00000019279,1.14678489,5.077208285,2.511247728,0.024281458,0.235562254,-3.653721412,ns
ENSSSCT00000016416,0.617523751,6.417291426,2.772225137,0.01447899,0.19345143,-3.655483574,ns
ENSSSCT00000093731,0.682974301,6.905577837,2.896304553,0.011290997,0.177299947,-3.656381459,ns
ENSSSCT00000036751,0.728654126,3.814396189,2.677396893,0.017490096,0.208899165,-3.656587085,ns
ENSSSCT00000032274,-0.79349791,6.015778142,-2.636004409,0.018986853,0.215051824,-3.657017856,ns
ENSSSCT00000091456,-1.270970349,4.617895541,-2.590769985,0.020763672,0.222755656,-3.657092327,ns
ENSSSCT00000061681,0.907668355,4.079935653,2.595951746,0.02055229,0.222141826,-3.657712218,ns
ENSSSCT00000000439,0.545576912,7.20781512,2.974498566,0.009646356,0.167465231,-3.658373165,ns
ENSSSCT00000093902,-1.272287815,5.309263662,-2.578183803,0.021285843,0.224989478,-3.658661328,ns
ENSSSCT00000058811,0.70843334,3.822563963,2.672719365,0.017653345,0.209677163,-3.659221128,ns
