,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000058514,-0.096047676,4.797254572,-0.203964627,0.841186787,0.946533255,-6.281829861,ns
ENSSSCT00000092252,0.319615613,5.651976676,0.643630498,0.529760416,0.794973416,-6.282088777,ns
ENSSSCT00000070773,0.307777783,6.821720937,1.309158712,0.210638977,0.510180873,-6.282100675,ns
ENSSSCT00000093984,-0.276032417,3.970967062,-0.755151507,0.462124111,0.749612263,-6.282137077,ns
ENSSSCT00000012654,0.256329845,6.910613692,1.344585728,0.199204309,0.497969079,-6.282199868,ns
ENSSSCT00000065197,-0.142880444,4.609937298,-0.277325757,0.785404137,0.92470835,-6.282308095,ns
ENSSSCT00000077476,0.2912082,6.718633739,1.266182336,0.225207535,0.528719041,-6.282315154,ns
ENSSSCT00000045837,0.31061174,6.333859796,1.081170019,0.297094639,0.604926419,-6.282363876,ns
ENSSSCT00000036304,-0.261721876,5.510802971,-0.557633495,0.585513501,0.828164424,-6.28260716,ns
ENSSSCT00000018923,0.058566521,4.774924151,0.13228147,0.896560971,0.965050612,-6.282750408,ns
ENSSSCT00000019154,0.290149642,6.397466881,1.114562549,0.282985324,0.58929863,-6.28284376,ns
ENSSSCT00000041192,0.072130991,4.905937711,0.149084901,0.883519068,0.960368262,-6.282849499,ns
ENSSSCT00000043637,0.299602356,5.842108443,0.771367075,0.452749601,0.743693211,-6.282861908,ns
ENSSSCT00000049898,-0.297717129,3.908309196,-0.813294969,0.429066542,0.725983352,-6.282875669,ns
ENSSSCT00000025626,0.374912205,4.301500498,0.532171935,0.60258323,0.835010995,-6.283045787,ns
ENSSSCT00000044299,0.159771253,5.137638925,0.282950409,0.781172818,0.922941981,-6.283259345,ns
ENSSSCT00000056150,-0.226749201,6.426302312,-1.106298682,0.286429552,0.59305118,-6.283398067,ns
ENSSSCT00000037267,-0.111491612,4.766926873,-0.211148244,0.835679978,0.944756429,-6.283471843,ns
ENSSSCT00000036636,-0.225860813,4.528499994,-0.389977812,0.702162872,0.886972866,-6.283657913,ns
ENSSSCT00000029855,0.259716616,4.462508175,0.364751359,0.720507499,0.894469609,-6.284048948,ns
ENSSSCT00000053207,0.304887622,6.076183628,0.92493766,0.369980674,0.671939688,-6.284097335,ns
ENSSSCT00000087794,0.278529133,3.905261722,0.879391724,0.393382108,0.692593734,-6.284131445,ns
ENSSSCT00000046150,0.168109588,5.174329975,0.307801601,0.76256504,0.91464921,-6.284327218,ns
ENSSSCT00000057740,0.318084654,3.998168646,0.801422793,0.435690693,0.730746532,-6.284503892,ns
ENSSSCT00000054329,0.059904661,4.907215399,0.131255038,0.897358674,0.965242436,-6.284569701,ns
ENSSSCT00000067926,0.281109535,6.483967701,1.157048658,0.265766831,0.572568367,-6.284591316,ns
ENSSSCT00000026414,0.172162895,4.429192247,0.398995471,0.695650778,0.884736235,-6.28464518,ns
ENSSSCT00000003599,0.12207794,4.68976349,0.177997463,0.861162312,0.953130641,-6.284875095,ns
ENSSSCT00000061667,-0.152099535,4.919486158,-0.231453867,0.820163123,0.939329484,-6.284992569,ns
ENSSSCT00000040483,0.29176408,6.320421786,1.07124263,0.301387962,0.609262605,-6.285022528,ns
ENSSSCT00000100294,-0.290377896,3.937074239,-0.783486395,0.44582126,0.738747104,-6.285028365,ns
ENSSSCT00000024613,0.261257898,6.633986786,1.22693813,0.239194884,0.544940938,-6.285146383,ns
ENSSSCT00000102657,-0.092517571,5.008850146,-0.22743884,0.823225328,0.940199208,-6.285327442,ns
ENSSSCT00000047904,0.247888616,6.89395004,1.33526374,0.20216354,0.501309617,-6.285654034,ns
ENSSSCT00000050890,0.328774118,5.625916863,0.620581488,0.544407136,0.804328021,-6.285679506,ns
ENSSSCT00000014030,-0.294838857,3.948763819,-0.777398223,0.449293359,0.741144587,-6.285701204,ns
ENSSSCT00000062128,-0.151836127,5.136626014,-0.297491583,0.770267208,0.917285126,-6.285724619,ns
ENSSSCT00000088392,0.266274625,6.914591038,1.34325071,0.199625949,0.498137287,-6.285924779,ns
ENSSSCT00000014918,-0.116590048,4.864590084,-0.188855182,0.852797097,0.950582517,-6.28594509,ns
ENSSSCT00000043610,-0.360783465,4.035225048,-0.689829145,0.501081431,0.776858334,-6.286045442,ns
ENSSSCT00000045101,0.088381434,4.974155349,0.152262403,0.881056661,0.960205077,-6.286054508,ns
ENSSSCT00000053994,0.243184015,5.27374319,0.372501855,0.714851763,0.892431481,-6.286059653,ns
ENSSSCT00000001547,-0.288086949,5.464332059,-0.525643081,0.606999884,0.837470022,-6.286155744,ns
ENSSSCT00000004997,0.225993043,7.002040417,1.377217094,0.189120262,0.486482104,-6.286170035,ns
ENSSSCT00000041296,-0.077716246,4.96962524,-0.200389826,0.843930379,0.947338338,-6.286265039,ns
ENSSSCT00000008942,-0.265328634,3.970011048,-0.750518436,0.464824427,0.751063711,-6.28633921,ns
ENSSSCT00000011577,0.226696051,5.350465058,0.427170242,0.675465668,0.875218262,-6.286571329,ns
ENSSSCT00000092554,0.087986332,5.045127173,0.208594381,0.837636712,0.945623609,-6.286599234,ns
ENSSSCT00000006389,-0.395421395,3.94140575,-0.777120978,0.449451875,0.741266666,-6.286802964,ns
ENSSSCT00000054332,-0.108060385,4.77476273,-0.185309318,0.855527012,0.95196817,-6.28688565,ns
ENSSSCT00000046373,0.288920659,6.754603076,1.277591327,0.221264421,0.523431235,-6.286963377,ns
ENSSSCT00000056803,0.056612456,4.864856311,0.110637933,0.913404585,0.971358353,-6.287064779,ns
ENSSSCT00000071913,0.428823395,5.982749905,0.85898694,0.404181199,0.702669172,-6.287173633,ns
ENSSSCT00000047355,0.293908715,6.634801225,1.225634062,0.239671065,0.545263086,-6.287180318,ns
ENSSSCT00000051359,0.276980511,7.16697237,1.439501456,0.171028708,0.463212447,-6.287368924,ns
ENSSSCT00000100921,0.277524877,6.015104309,0.882037846,0.391995927,0.691648515,-6.287381299,ns
ENSSSCT00000002813,0.367122045,6.394340247,1.108810256,0.28537948,0.592040153,-6.287564762,ns
ENSSSCT00000028214,-0.170458192,5.193888349,-0.337507071,0.740520846,0.904033545,-6.287593161,ns
ENSSSCT00000005824,-0.079175059,4.872433857,-0.149575778,0.883138581,0.960368262,-6.287774569,ns
ENSSSCT00000016639,-0.237347507,5.258056123,-0.382805783,0.707359486,0.889167281,-6.287833057,ns
ENSSSCT00000076691,0.31596134,6.495217394,1.159492058,0.264801315,0.571710759,-6.287905473,ns
ENSSSCT00000006488,-0.428831764,5.817850569,-0.739836943,0.47108681,0.755346608,-6.288065196,ns
ENSSSCT00000013677,-0.36084471,5.580332575,-0.591472679,0.563217958,0.815547898,-6.288223376,ns
ENSSSCT00000106169,-0.291764107,5.530781122,-0.562002199,0.58260976,0.825728697,-6.288226233,ns
ENSSSCT00000054888,0.248644988,6.067014773,0.914861967,0.375073706,0.676672857,-6.288328248,ns
ENSSSCT00000059452,-0.144536151,5.158040321,-0.313284895,0.758479208,0.912400258,-6.28833165,ns
ENSSSCT00000019021,-0.215450613,5.314157519,-0.41536791,0.683890918,0.879078037,-6.288340504,ns
ENSSSCT00000034839,-0.246160025,4.137609261,-0.659099488,0.520055851,0.789657548,-6.288348208,ns
ENSSSCT00000012093,0.328685342,6.078970737,0.922262741,0.371328136,0.67294304,-6.288403869,ns
ENSSSCT00000023461,-0.214450137,4.785955137,-0.284225002,0.780214954,0.922175162,-6.288458918,ns
ENSSSCT00000073006,0.062359571,4.87791565,0.084009027,0.934186215,0.979098475,-6.288519871,ns
ENSSSCT00000041566,0.225578173,3.701990961,0.983447386,0.341347683,0.645974327,-6.288555719,ns
ENSSSCT00000104833,-0.405688298,4.137937884,-0.653004492,0.52386746,0.791767286,-6.288567206,ns
ENSSSCT00000086505,0.294580871,4.340084949,0.482270769,0.636738139,0.855285688,-6.28859048,ns
ENSSSCT00000006020,-0.374752791,4.084557996,-0.663072938,0.517579519,0.788315453,-6.288730512,ns
ENSSSCT00000007631,-0.245502224,4.292097446,-0.534561406,0.600970801,0.834441454,-6.28880974,ns
ENSSSCT00000077127,-0.080480665,4.789657731,-0.128012763,0.899879193,0.966501833,-6.288881353,ns
ENSSSCT00000000287,0.23383286,6.549173902,1.184690234,0.254999595,0.561292049,-6.288884539,ns
ENSSSCT00000068751,-0.24340967,6.199272125,-0.972842886,0.346417983,0.65036267,-6.28891728,ns
ENSSSCT00000003388,0.191459053,5.185043957,0.30239596,0.766600179,0.916262078,-6.288993589,ns
ENSSSCT00000098825,-0.232242268,5.014195484,-0.259897437,0.798559131,0.929568279,-6.289013155,ns
ENSSSCT00000081355,-0.138056377,5.149674955,-0.304526338,0.765009077,0.915680293,-6.289051895,ns
ENSSSCT00000050083,0.269615624,4.405182913,0.412973102,0.685605851,0.879742144,-6.289070166,ns
ENSSSCT00000000218,-0.265704192,4.146587736,-0.647901626,0.527070762,0.793527548,-6.289342688,ns
ENSSSCT00000009619,0.2641718,6.580047207,1.198608462,0.249706342,0.556158481,-6.289416937,ns
ENSSSCT00000018317,-0.083262519,4.705428933,-0.159248369,0.875647386,0.95859128,-6.289466021,ns
ENSSSCT00000053190,0.327684328,6.755137752,1.275713123,0.221909774,0.52436501,-6.289514575,ns
ENSSSCT00000003118,0.279232288,4.43857177,0.376561983,0.71189585,0.891383146,-6.289592482,ns
ENSSSCT00000083956,0.043749943,4.762810877,0.080034036,0.937293004,0.979793904,-6.289624279,ns
ENSSSCT00000011384,-0.261349099,5.821352819,-0.740488779,0.470703181,0.754911663,-6.289642801,ns
ENSSSCT00000047752,0.036034531,4.834234896,0.071896973,0.943656039,0.981261275,-6.289700913,ns
