,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000046662,0,7.98991847,2.285537886,5.956035658,0,1.766438601,2.274070276,0.549048359,7.877200476,2.984151944
ENSSSCT00000047968,11.74645984,202.6196295,21.34461325,51.73625075,4.323292767,11.1480613,2.622431165,41.05635457,32.15673141,17.7246798
ENSSSCT00000047845,17.77281416,0,0,8.84668686,4.395287205,0,0,0,0,0.069355566
ENSSSCT00000014686,53.12179682,49.31121781,42.77704331,25.83326988,108.1916304,87.33018335,40.61801357,51.90990542,74.22792851,209.2077588
ENSSSCT00000026305,2.278917702,8.049197171,27.16006713,5.630959703,4.419410558,5.446973266,3.142265825,3.541824698,23.45602819,56.25618655
ENSSSCT00000078515,0.192656017,8.101685691,34.81788429,5.161544813,15.76506163,1.308486886,4.065994031,1.950516264,3.495037866,2.335343095
ENSSSCT00000009359,0,0,0,2.296451559,1.21974736,2.311431781,1.704669855,0.213745369,0.331868155,0.706712933
ENSSSCT00000062921,76.15414329,8.203861634,16.70196181,10.69628029,9.690264309,15.18934721,10.33287256,10.3559745,12.01780926,19.63409282
ENSSSCT00000061687,2.833655732,1.697961889,2.431736032,0,3.347247733,3.245171038,2.375404844,0.279907342,3.223119077,4.669797499
ENSSSCT00000054768,0,0.885216869,0,0,3.911827042,2.662467953,0.165556252,0.282968518,1.044384521,0.173129823
ENSSSCT00000012367,1.458114128,2.914464454,0.720430399,3.12889865,1.063782472,1.409312287,2.8231936,1.003972226,6.909632447,3.810603221
ENSSSCT00000045837,3.654032384,20.14567805,5.220240537,6.985078752,2.581882533,18.88032697,9.15345812,2.484740149,5.98855978,2.976320107
ENSSSCT00000043193,0,2.736276143,1.807808107,0.782167181,8.126448966,0.42316783,0.594319114,0.156730147,0.840110517,3.705596516
ENSSSCT00000012106,4.643676863,55.94208233,16.89878748,68.0571099,38.34065038,17.62807775,32.94793226,12.29467873,129.5406527,68.21709123
ENSSSCT00000043165,0,12.07150254,0,0.310486536,7.848470633,1.775108736,0.417279692,0.782040843,0,0.098518675
ENSSSCT00000070803,0,0,1.439902794,0,0,0.457373141,0,0,0,0.047890005
ENSSSCT00000054304,4.291316097,6.064817076,20.35931498,1.940991124,8.468196476,8.936697224,2.716201223,1.718589133,2.302168501,8.627676608
ENSSSCT00000054313,4.575939424,2.692089402,7.276250573,0.798092955,0.320414182,4.407763873,0.105900331,0.250390539,2.044687391,4.679748377
ENSSSCT00000011650,24.75936798,73.22460645,43.44102866,23.67537927,14.46699049,15.9827797,9.560882052,40.06299691,13.57776834,30.64625221
ENSSSCT00000107101,0,0.345998471,0,0.435288772,1.282773881,0.424095731,0,0,1.043768001,0.14242211
ENSSSCT00000015774,0.72942313,4.472407058,4.651951139,2.552586711,5.324408997,4.078838459,0.954887624,0.476457449,2.263090859,2.181617405
ENSSSCT00000004581,15.46177851,25.92412253,31.06589064,15.47314502,16.71859183,32.52392691,113.0893488,38.13508395,92.9499214,29.7720254
ENSSSCT00000010113,0,3.974559753,4.180327063,3.979616221,2.875118823,1.849374948,2.549608196,0,6.388386568,2.229117325
ENSSSCT00000011749,2.670276951,12.12537745,2.6434017,3.781447782,30.66143919,3.474157365,4.650829707,1.497730145,1.38167105,10.7468704
ENSSSCT00000041495,0,1.522319408,1.462531381,0.863639302,3.312788085,6.666002934,0,0,0,0
ENSSSCT00000061110,32.08629591,16.17561836,65.48677754,21.34602037,14.67145892,8.465496347,5.331864296,42.66120809,108.7233093,76.29295404
ENSSSCT00000052336,41.42694304,15.61550004,56.83384468,2.902677806,20.46227348,3.315696514,1.002457805,1.920328892,8.151540512,5.124548637
ENSSSCT00000058290,7.207994909,11.52497259,6.064499293,6.568871207,3.524627193,13.73314946,6.219703862,11.36716301,9.96043783,38.31139161
ENSSSCT00000014529,0.817897894,0.345151774,0.398748108,2.579874347,0.513275156,1.105217109,2.334857903,0.380866932,0.141571566,1.352352713
ENSSSCT00000000171,5.153587644,2.733757977,13.14628047,14.42540904,3.291735273,22.17523984,4.09096069,2.985611826,20.13718409,7.629542485
ENSSSCT00000012317,5.546846527,3.298690451,1.110339013,3.120334487,7.033792636,3.970624377,2.489443969,0.819465628,1.491320676,2.737526556
ENSSSCT00000053817,2.632358462,75.56166639,6.093175935,4.374617812,8.29217748,15.864347,0.695480396,0.523296862,2.374508095,1.423297116
ENSSSCT00000042467,1.450398711,5.826704598,2.816838179,1.448470259,9.700222136,1.520324389,2.440674922,2.012598869,4.072927099,3.859784574
