gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ANKRD10_ENSSSCG00000033732_ENSSSCT00000051194_153_1413_2472,54.9043446755423,-0.571692598667825,0.54097710610734,-1.05677780485297,0.290613006144572,0.606938154644436
FCGR1A_ENSSSCG00000006678_ENSSSCT00000036053_56_1094_1329,1.88920586430233,0.867391501304537,2.0782873962124,0.41735878439398,0.676415996983039,NA
SEMA7A_ENSSSCG00000023165_ENSSSCT00000106015_10_1969_2939,27.5422349627656,0.426970884510293,0.662538639073842,0.644446767824972,0.519285765885841,0.774224797980786
SPN_ENSSSCG00000035256_ENSSSCT00000050550_77_1334_3666,292.768798870001,1.72630329327885,0.478803413120246,3.6054531901286,0.000311608657891061,0.0128858263547394
RALB_ENSSSCG00000025455_ENSSSCT00000053997_3977_4595_6013,3.30477172701424,-2.23982672818829,1.95744794437319,-1.14425864280417,0.252516389346593,NA
COA8_ENSSSCG00000054301_ENSSSCT00000106133_9_627_981,2.25869409758947,-1.57447031174745,2.15037843954181,-0.732182895250256,0.464056942969049,NA
INTS6_ENSSSCG00000009384_ENSSSCT00000044667_304_2962_3490,34.5088718352036,-2.29323203462549,0.717869277760562,-3.19449808714391,0.00140074213436806,0.0336467521780229
FNIP1_ENSSSCG00000014269_ENSSSCT00000096911_96_3588_6830,34.0043643211976,-0.795234298175282,0.639803635656272,-1.24293494731329,0.213891806319827,0.537317662116316
TALDO1_ENSSSCG00000012847_ENSSSCT00000048028_90_1266_1269,107.49545591474,0.287328933292993,0.452667308729196,0.63474637499145,0.525593842574817,0.779208622006481
WDPCP_ENSSSCG00000057114_ENSSSCT00000096237_313_2362_2365,4.04721943221179,0.979977355500711,1.47981542600009,0.662229449891307,0.50782418305767,NA
KCTD15_ENSSSCG00000033695_ENSSSCT00000049953_713_1562_2866,1.95323410338445,-0.937172591134639,2.25466495718297,-0.415659359120729,0.677659284088636,NA
YIF1A_ENSSSCG00000012953_ENSSSCT00000055267_155_1034_1165,2.15177385330086,-1.14928978472405,2.18009358735929,-0.527174517363799,0.598072402979405,NA
HOMER2_ENSSSCG00000001804_ENSSSCT00000057026_45_1074_3320,4.42297379683667,1.37081723160893,1.38930991061212,0.986689306063442,0.323794974164799,NA
TPGS2_ENSSSCG00000026953_ENSSSCT00000028255_321_1203_2752,1.4737775427304,-0.713283585986744,2.45538629580954,-0.290497502248042,0.771435661354921,NA
PIH1D1_ENSSSCG00000003169_ENSSSCT00000050678_252_1119_1122,10.7913008138037,-0.354612618260385,0.962524263135552,-0.368419407013374,0.712560528866251,NA
APOO_ENSSSCG00000012174_ENSSSCT00000103006_195_789_822,0.795592330827615,-1.84705331309622,3.2275851328969,-0.572270981877527,0.567138405568146,NA
XAF1_ENSSSCG00000056284_ENSSSCT00000093443_8_866_1414,12.1269784753537,-1.53970831015511,1.06308467015582,-1.44834024361337,0.147521917947822,0.451102003698416
CCR9_ENSSSCG00000011316_ENSSSCT00000047088_173_1280_4760,39.429814704951,2.64966763791421,0.80231244898182,3.30253835806336,0.000958139825108746,0.0269066029147688
CDK16_ENSSSCG00000012269_ENSSSCT00000036275_3473_5285_5288,22.3331076618182,0.255764412963418,0.739569797427034,0.345828634231987,0.72947150440062,0.888603909279297
MICAL3_ENSSSCG00000000770_ENSSSCT00000054818_261_6555_8811,11.9876327844197,1.38000498370409,0.891238013835725,1.54841351275491,0.121522769912176,0.41257172528509
APBA3_ENSSSCG00000013492_ENSSSCT00000014738_142_1903_1994,9.11274380654831,-0.68365377983068,1.07134388878249,-0.638127296929475,0.523390818764394,NA
EDC3_ENSSSCG00000001903_ENSSSCT00000002132_180_1704_6824,26.892987617805,0.413738491975543,0.731952757879524,0.565252999625479,0.571901692235076,0.809601651033708
MYO1D_ENSSSCG00000017728_ENSSSCT00000048990_303_3321_3894,3.56776287155774,1.2388680114283,1.77186029793208,0.699190569862743,0.484432943113412,NA
SLC26A8_ENSSSCG00000001555_ENSSSCT00000001733_199_3802_3805,4.36335520238535,0.393238089823746,1.41450974365284,0.278003097248552,0.781009981179539,NA
CMPK2_ENSSSCG00000008647_ENSSSCT00000088701_45_1392_2882,21.813841076343,0.390901254025857,0.800539642646072,0.488297185051058,0.625339355073504,0.837265393902341
