Transcript,external_gene_name,TE_H6,TE_H7,TE_W10,TE_W6
ENSSSCT00000018873,ACBD4,2.264622441,1.920438167,22.24817188,2.376973339
ENSSSCT00000104076,ACBD5,2.629858566,1.120422751,0.388142612,267.8877914
ENSSSCT00000016923,ACBD6,0.434824623,5.112007896,0.859758214,0.91370307
ENSSSCT00000014507,ACCSL,0.702000341,NA,0,0
ENSSSCT00000014506,ACCS,NA,0,0,0
ENSSSCT00000027655,ACD,1.96203534,3.373747392,14.5580309,0.818720327
ENSSSCT00000034032,ACE2,3.355376393,NA,NA,NA
ENSSSCT00000060646,ACER2,1.117082855,0.873659673,2.51494356,1.836222879
ENSSSCT00000079483,ACER3,2.102105142,0.928968647,4.433421856,0.30829268
ENSSSCT00000018828,ACE,NA,0.681367304,NA,NA
ENSSSCT00000090230,ACHE,NA,NA,0,NA
ENSSSCT00000017775,ACKR3,3.972060635,9.761903991,25.38726063,1.615743201
ENSSSCT00000012727,ACKR4,0.497398604,NA,0,NA
ENSSSCT00000018965,ACLY,1.975447103,4.138036979,2.401592212,1.34555003
ENSSSCT00000050582,ACO1,4.051308034,6.25104098,3.233691549,11.17224242
ENSSSCT00000105482,ACO2,7.460247356,1.623964119,7.18405309,5.284222579
ENSSSCT00000050621,ACOT11,3.284899617,5.803647642,0,11.32808594
ENSSSCT00000051683,ACOT13,0.894879814,0.403496016,0,0
ENSSSCT00000071335,ACOT6,NA,NA,0,NA
ENSSSCT00000056129,ACOT7,1.31311008,0.65264874,2.696557263,6.049054934
ENSSSCT00000025270,ACOT8,0.497556011,0.871839929,2.78368503,6.065802779
ENSSSCT00000101133,ACOT9,8.857959681,13.17307139,0.345180894,1.950963709
ENSSSCT00000100542,ACOX1,2.564558154,8.801270376,8.218947874,1.039036405
ENSSSCT00000058844,ACOX2,NA,NA,0,0
ENSSSCT00000086938,ACOX3,1.663306424,4.061913462,20.00434467,7.76855866
ENSSSCT00000057327,ACOXL,0,NA,0,0
ENSSSCT00000009475,ACP1,0.126480757,0.641379568,0.552364833,0.104475663
ENSSSCT00000097655,ACP2,1.789370329,4.227919725,10.39000506,8.508405472
ENSSSCT00000012724,ACP3,NA,0.044107334,0,NA
ENSSSCT00000032085,ACP4,0.07609339,0.026964981,0,0
ENSSSCT00000014867,ACP5,0.981292573,1.046253679,2.294209753,5.41555789
ENSSSCT00000007336,ACP6,0.473752221,2.302582342,0.593952834,0.349287294
ENSSSCT00000092092,ACRBP,1.301369964,0.401163095,0,0.462087777
ENSSSCT00000060173,ACR,NA,NA,NA,NA
ENSSSCT00000019121,ACSF2,5.679738993,3.987075564,0.746629419,1.092899301
ENSSSCT00000065079,ACSF3,0.683536107,2.276957243,0.641904203,5.387887176
ENSSSCT00000058100,ACSL1,4.731664597,6.537098652,2.054991896,9.640638168
ENSSSCT00000101017,ACSL3,4.395178765,2.955859798,9.95757149,932.6949721
ENSSSCT00000051623,ACSL4,0.673315698,9.291415095,0.713600772,4.77128787
ENSSSCT00000026254,ACSL5,2.957603532,10.63724704,0.949076196,1.055224584
ENSSSCT00000076510,ACSL6,NA,0.124028867,0,NA
ENSSSCT00000027749,ACSM5,0,0.031542391,0,NA
ENSSSCT00000044534,ACSS1,3.450443524,0.995371827,7.319035745,2.036906449
ENSSSCT00000048008,ACSS2,4.85120466,5.686448865,6.086080151,2.415911213
ENSSSCT00000059893,ACSS3,0.29738421,4.889166824,0,NA
ENSSSCT00000040776,ACTA1,NA,1.853448111,NA,5.588831827
ENSSSCT00000049256,ACTA2,10.41234036,10.12844088,8.787214953,17.9913338
ENSSSCT00000042531,ACTB,1.686256129,5.303561684,6.399150881,1.303928859
ENSSSCT00000005302,ACTC1,NA,NA,68.21236316,NA
ENSSSCT00000025260,ACTG1,1.260470369,1.26509985,3.109559488,1.540414807
ENSSSCT00000064546,ACTG2,NA,17.4541026,94.26268062,25.61995542
ENSSSCT00000012873,ACTL6A,1.729537451,5.047897576,4.893859924,0.452223382
ENSSSCT00000065394,ACTMAP,1.112550266,1.008972161,3.326013687,1.271392104
ENSSSCT00000027004,ACTN1,6.767428342,1.82364932,1.802262568,2.174737284
ENSSSCT00000069068,ACTN2,NA,0.614510187,92.24839841,NA
ENSSSCT00000081024,ACTN3,NA,NA,0,NA
ENSSSCT00000003289,ACTN4,0.862865303,6.316848196,7.680953839,1.80525792
ENSSSCT00000030515,ACTR10,2.098379943,11.52257554,0,8.373446568
ENSSSCT00000011578,ACTR1A,1.076281127,2.394355915,2.076831618,7.542518842
ENSSSCT00000088139,ACTR1B,1.7916266,1.507020972,3.620373011,0.634983566
ENSSSCT00000064075,ACTR2,11.5301631,8.850843214,8.402174331,3.593177498
ENSSSCT00000017110,ACTR3,0.508360446,1.637001566,1.206573116,3.959316891
ENSSSCT00000008041,ACTR5,1.07458717,20.75078777,1.997987552,13.37685419
ENSSSCT00000000963,ACTR6,1.867616694,8.397477854,0.253441171,1.142308828
ENSSSCT00000041214,ACTR8,3.98437015,6.079782892,0.455778328,9.796738403
ENSSSCT00000003726,ACTRT2,NA,NA,NA,NA
ENSSSCT00000000252,ACVR1B,4.079342803,1.660410044,8.898572797,0
ENSSSCT00000060330,ACVR1,7.282705539,5.444367909,0,1.034110164
ENSSSCT00000017067,ACVR2A,1.278332661,1.625820635,0,NA
ENSSSCT00000012324,ACVR2B,NA,0.65363888,NA,NA
ENSSSCT00000095024,ACVRL1,4.978672331,0.4859963,29.27242196,55.95611597
ENSSSCT00000088369,ACY1,3.792033554,1.330976132,0,9.164799041
ENSSSCT00000030730,ACYP2,2.741068683,0.646779361,0,0
ENSSSCT00000041303,ADA2,0.483668979,1.541007477,64.52881628,11.7044776
ENSSSCT00000005202,MAPDA,0.412509496,3.394080626,9.923114753,93.07871841
ENSSSCT00000088907,ADAM10,1.94133816,7.844791433,8.153297565,9.705937925
ENSSSCT00000018885,ADAM11,NA,0.786334881,0,13.03190626
ENSSSCT00000074893,ADAM12,2.423809455,1.495238367,NA,NA
ENSSSCT00000026700,ADAM15,4.939478887,2.660573209,0.660866352,1.734901694
ENSSSCT00000072504,ADAM17,3.023090374,5.49279097,7.122471107,23.30153636
ENSSSCT00000064509,ADAM19,2.122019984,7.132482488,8.180814442,6.984801485
ENSSSCT00000002584,ADAM21,NA,0.144819758,NA,NA
ENSSSCT00000056370,ADAM22,0.055689225,NA,NA,NA
ENSSSCT00000075796,ADAM28,NA,0.076558228,0,39.45306156
ENSSSCT00000106789,ADAM29,0,NA,NA,NA
ENSSSCT00000040912,ADAM33,0.063210621,NA,0,0
ENSSSCT00000007677,ADAM3A,NA,NA,NA,NA
ENSSSCT00000033889,ADAM8,3.867431511,3.046819659,8.587975925,38.63530197
ENSSSCT00000017216,ADAM9,7.851303163,16.96241202,13.11511684,12.98412344
ENSSSCT00000055181,ADAMDEC1,NA,NA,33.42432212,45.51060363
ENSSSCT00000063527,ADAMTS10,1.021468268,1.125513464,45.14227851,17.56375901
ENSSSCT00000024262,ADAMTS12,NA,0.561477392,38.86761707,NA
ENSSSCT00000022734,ADAMTS13,1.846098444,3.004347741,0,0
ENSSSCT00000011243,ADAMTS14,6.076663401,0.01348442,149.9762693,0
ENSSSCT00000016619,ADAMTS15,0.485755007,1.091878528,14.7546009,0
ENSSSCT00000018627,ADAMTS16,0,0,NA,NA
ENSSSCT00000041094,ADAMTS17,NA,NA,NA,NA
ENSSSCT00000015580,ADAMTS19,2.984328536,19.56177556,6.354030657,17.29264691
ENSSSCT00000022836,ADAMTS2,0.47967012,8.268847909,40.46894332,1.949932343
ENSSSCT00000050515,ADAMTS3,0,0.440915928,NA,NA
ENSSSCT00000013159,ADAMTS5,54.06859482,30.97086787,116.6140942,17.15868823
ENSSSCT00000089457,ADAMTS6,1.624610728,3.348714931,0,48.19644342
ENSSSCT00000001974,ADAMTS7,5.902728258,1.741235966,0,0
ENSSSCT00000042241,ADAMTS8,1.142903839,0.568686638,0,NA
ENSSSCT00000055973,ADAMTS9,1.14095789,3.198090312,0,NA
ENSSSCT00000037462,ADAMTSL1,0,0.069618548,NA,NA
ENSSSCT00000028900,ADAMTSL2,0,0.31529524,10.21374808,NA
ENSSSCT00000042317,ADAMTSL3,NA,0,89.60991235,NA
ENSSSCT00000037797,ADAMTSL4,0.325389681,1.328605503,1.095142483,1.027453632
ENSSSCT00000008279,ADAP1,0.694830076,0.408897291,1.769635637,0.240736605
ENSSSCT00000070609,ADAP2,3.25193137,1.789610383,0,9.324852628
ENSSSCT00000056371,ADARB1,0.378089846,2.618303317,0.24495517,0.42019568
ENSSSCT00000079058,ADARB2,NA,NA,NA,NA
ENSSSCT00000087317,ADAR,2.48079542,3.289124453,1.074259685,2.002742981
ENSSSCT00000003000,ADAT1,0.169370371,11.00643505,0,2.980248401
ENSSSCT00000048579,ADAT2,0.682758452,1.106999938,0,4.713685087
