"GeneID","RNAseq_H2","RNAseq_H3","RNAseq_H6","RNAseq_H7","RNAseq_H8","RNAseq_W1","RNAseq_W10","RNAseq_W6","RNAseq_W7","RNAseq_W9"
"ENSSSCG00000000436",10,14,24,14,41,16,156,100,281,290
"ENSSSCG00000000437",27,50,57,52,70,61,447,549,1194,1646
"ENSSSCG00000000439",2,4,3,1,2,4,4,4,9,28
"ENSSSCG00000000442",0,0,0,0,5,0,0,0,0,0
"ENSSSCG00000000443",1,0,0,1,3,0,11,0,9,10
"ENSSSCG00000000444",18,36,50,41,91,44,375,378,775,865
"ENSSSCG00000000449",19,28,45,32,84,35,190,311,678,585
"ENSSSCG00000000453",2,1,0,5,7,4,18,30,40,28
"ENSSSCG00000000455",3,0,1,1,1,0,0,0,5,10
"ENSSSCG00000000456",19,33,23,33,29,42,4,0,9,27
"ENSSSCG00000000457",32,48,66,64,86,57,256,94,631,636
"ENSSSCG00000000458",18,45,34,39,48,38,124,16,228,262
"ENSSSCG00000000462",0,0,0,2,2,1,19,7,36,35
"ENSSSCG00000000466",16,41,36,31,74,34,537,180,925,783
"ENSSSCG00000000469",11,36,32,31,35,30,167,29,330,365
"ENSSSCG00000000473",7,7,8,9,14,2,63,18,106,125
"ENSSSCG00000000475",25,28,18,25,46,39,57,15,214,281
"ENSSSCG00000000477",14,18,14,15,19,17,19,4,83,83
"ENSSSCG00000000478",0,2,0,0,1,0,3,3,0,2
"ENSSSCG00000000482",0,0,0,0,0,1,0,6,0,0
"ENSSSCG00000000483",1,9,7,6,7,0,60,14,59,103
"ENSSSCG00000000486",11,29,30,20,58,30,317,87,523,504
"ENSSSCG00000000487",3,6,5,9,6,8,47,11,119,143
"ENSSSCG00000000488",18,14,31,15,43,20,233,73,414,463
"ENSSSCG00000000492",487,129,97,55,82,184,15,195,347,4767
"ENSSSCG00000000493",8,23,16,17,18,18,30,14,75,70
"ENSSSCG00000000496",36,53,69,75,163,75,1328,452,1985,1657
"ENSSSCG00000000499",1,4,6,5,1,1,0,1,0,3
"ENSSSCG00000000500",4,4,11,7,13,11,55,34,154,107
"ENSSSCG00000000502",21,38,45,50,58,55,268,76,417,629
"ENSSSCG00000000504",2,2,3,2,0,4,0,0,5,55
"ENSSSCG00000000509",68,94,127,98,152,78,219,56,337,616
"ENSSSCG00000000510",2,5,6,8,8,4,157,30,242,245
"ENSSSCG00000000512",11,35,39,39,60,38,231,59,418,463
"ENSSSCG00000000515",1,1,0,4,0,4,12,0,7,9
"ENSSSCG00000000516",2,3,4,12,20,8,0,0,0,0
"ENSSSCG00000000517",0,0,1,2,1,0,1,0,0,0
"ENSSSCG00000000519",21,20,31,15,45,21,321,128,561,526
"ENSSSCG00000000522",64,153,159,156,258,152,2507,1104,3719,3512
"ENSSSCG00000000523",1,2,3,1,0,1,16,1,12,26
"ENSSSCG00000000527",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000000528",1,3,4,5,23,2,6,2,15,30
"ENSSSCG00000000530",40,21,24,16,26,23,28,4,79,110
"ENSSSCG00000000531",2,4,4,1,2,3,10,5,7,8
"ENSSSCG00000000534",20,43,49,42,66,45,384,96,631,696
"ENSSSCG00000000536",10,14,14,9,27,23,158,26,211,242
"ENSSSCG00000000540",0,0,1,0,0,3,0,0,0,0
"ENSSSCG00000000541",2,4,8,6,9,11,91,37,112,159
"ENSSSCG00000000545",3,4,10,7,2,2,15,7,26,49
"ENSSSCG00000000547",1,2,3,4,10,6,67,1,119,78
"ENSSSCG00000000549",1,0,4,1,5,1,4,1,1,27
"ENSSSCG00000000551",0,0,0,1,2,1,0,0,1,1
"ENSSSCG00000000553",19,25,28,26,36,29,250,43,419,310
"ENSSSCG00000000554",16,22,30,29,30,35,235,41,292,336
"ENSSSCG00000000555",95,237,248,201,276,186,262,64,862,1030
"ENSSSCG00000000559",1,1,3,1,6,1,5,15,10,35
"ENSSSCG00000000563",26,52,58,45,64,52,289,54,498,778
"ENSSSCG00000000567",4,30,14,11,17,6,0,7,19,14
"ENSSSCG00000000570",20,26,34,24,45,38,248,62,383,503
"ENSSSCG00000000571",0,3,2,0,1,1,0,0,0,0
"ENSSSCG00000000573",0,2,1,1,0,2,0,0,0,0
"ENSSSCG00000000576",9,16,15,10,180,17,2628,1589,4469,3795
"ENSSSCG00000000577",0,4,2,5,7,0,0,0,0,0
"ENSSSCG00000000579",4,3,3,2,9,7,56,28,58,75
"ENSSSCG00000000580",9,24,32,19,31,31,168,15,237,265
"ENSSSCG00000000582",0,0,0,1,1,1,0,0,0,0
"ENSSSCG00000000583",3,6,19,7,10,7,95,15,146,188
"ENSSSCG00000000587",14,40,44,31,53,32,131,24,282,385
"ENSSSCG00000000588",8,3,11,1,13,4,24,1,27,38
"ENSSSCG00000000589",2,3,5,5,4,4,0,0,1,0
"ENSSSCG00000000590",0,1,1,1,0,0,0,0,0,0
"ENSSSCG00000000591",0,3,1,1,0,2,0,0,0,0
"ENSSSCG00000000598",1,2,1,2,0,1,0,0,0,0
"ENSSSCG00000000599",10,7,11,7,16,7,164,102,250,185
"ENSSSCG00000000600",7,14,13,9,21,13,172,26,164,205
"ENSSSCG00000000601",15,3,2,2,3,2,10,23,59,69
"ENSSSCG00000000602",0,0,0,0,0,0,1,0,0,12
"ENSSSCG00000000605",3,3,1,1,2,2,1,0,4,14
"ENSSSCG00000000607",3,9,8,9,5,8,2,6,1,5
"ENSSSCG00000000611",31,48,39,37,88,52,462,365,1018,1026
"ENSSSCG00000000612",44,79,117,94,139,109,356,151,909,1265
"ENSSSCG00000000614",0,2,1,1,0,0,0,0,0,1
"ENSSSCG00000000619",9,11,13,12,10,5,27,17,54,35
"ENSSSCG00000000623",2,0,8,0,8,9,23,15,42,53
"ENSSSCG00000000625",15,8,6,3,6,4,13,2,98,75
