name,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ACE2_ENSSSCG00000012138_ENSSSCT00000034032_48_2463_2830,1,3,3,0,2,6,0,0,0,1
ACER1_ENSSSCG00000023969_ENSSSCT00000047259_199_1024_3268,0,0,0,0,0,0,1,0,5,1
ACER2_ENSSSCG00000034213_ENSSSCT00000060646_104_923_4576,3,17,8,5,6,9,143,73,46,7
ACER3_ENSSSCG00000032723_ENSSSCT00000079483_42_864_6762,4,0,4,3,8,5,34,12,40,21
ACE_ENSSSCG00000017296_ENSSSCT00000018828_12_3939_4040,0,0,0,1,1,0,0,0,1,0
ACHE_ENSSSCG00000030303_ENSSSCT00000090230_0_2295_3299,0,1,0,0,3,0,5,0,1,6
ACKR2_ENSSSCG00000031154_ENSSSCT00000041638_329_1484_6731,0,0,2,0,0,0,2,0,0,1
ACKR3_ENSSSCG00000016322_ENSSSCT00000017775_112_1198_2032,2,3,5,1,4,4,8,15,23,69
ACKR4_ENSSSCG00000011630_ENSSSCT00000012727_356_1406_1842,0,0,3,0,0,2,14,0,0,10
ACLY_ENSSSCG00000017421_ENSSSCT00000018965_132_3522_4402,45,69,86,79,147,78,591,575,1506,1375
ACO1_ENSSSCG00000023807_ENSSSCT00000050582_141_2808_3508,6,4,7,3,76,6,103,65,199,161
ACO2_ENSSSCG00000000064_ENSSSCT00000105482_29_2369_8328,57,50,83,65,166,75,771,884,1883,1787
ACOT11_ENSSSCG00000037559_ENSSSCT00000050621_111_1860_5809,4,4,3,2,16,1,3,14,22,82
ACOT12_ENSSSCG00000036095_ENSSSCT00000063532_119_1796_4759,0,0,0,0,0,0,0,0,0,0
ACOT13_ENSSSCG00000036411_ENSSSCT00000051683_136_559_5252,2,2,3,2,1,5,48,25,81,81
ACOT6_ENSSSCG00000002348_ENSSSCT00000071335_9_1266_3751,0,0,0,0,4,0,5,0,4,4
ACOT7_ENSSSCG00000003377_ENSSSCT00000056129_8_1163_1471,7,13,15,22,27,15,198,234,260,347
ACOT8_ENSSSCG00000007426_ENSSSCT00000025270_126_1077_1203,3,7,6,6,13,5,103,79,167,178
ACOT9_ENSSSCG00000012172_ENSSSCT00000101133_0_1353_2380,6,7,8,7,27,14,79,62,157,169
ACOX1_ENSSSCG00000017198_ENSSSCT00000100542_86_2069_4056,23,30,40,31,74,33,128,66,312,370
ACOX2_ENSSSCG00000011477_ENSSSCT00000058844_658_2701_2973,0,0,0,0,5,0,4,1,2,1
ACOX3_ENSSSCG00000008724_ENSSSCT00000086938_297_2481_3091,14,24,12,18,18,13,44,26,126,180
ACOXL_ENSSSCG00000037846_ENSSSCT00000057327_117_1857_2861,0,2,2,0,3,3,11,6,7,4
ACP1_ENSSSCG00000008659_ENSSSCT00000009475_12_702_5838,7,11,11,7,23,15,287,196,437,394
ACP2_ENSSSCG00000013242_ENSSSCT00000097655_40_1339_1342,5,4,8,1,10,4,11,21,103,130
ACP3_ENSSSCG00000011627_ENSSSCT00000012724_48_1287_2291,0,0,0,1,1,0,3,0,5,3
ACP4_ENSSSCG00000024736_ENSSSCT00000032085_275_1550_1659,0,1,1,1,3,0,5,27,18,27
ACP5_ENSSSCG00000032282_ENSSSCT00000014867_0_1020_1367,15,28,15,23,24,28,295,370,609,987
ACP6_ENSSSCG00000006697_ENSSSCT00000007336_460_1744_2642,6,11,11,7,20,9,140,97,232,221
ACP7_ENSSSCG00000002971_ENSSSCT00000077807_199_1510_2514,0,2,0,0,0,0,0,0,0,0
ACRBP_ENSSSCG00000000700_ENSSSCT00000092092_199_1816_2019,4,5,6,3,5,4,24,27,108,161
ACRV1_ENSSSCG00000015216_ENSSSCT00000016582_41_857_1117,1,0,0,1,0,0,0,0,0,0
ACR_ENSSSCG00000021265_ENSSSCT00000060173_48_1290_1401,0,0,0,0,0,1,0,0,0,0
ACSBG1_ENSSSCG00000001760_ENSSSCT00000001967_0_2127_2130,1,1,0,1,2,0,0,0,0,0
ACSF2_ENSSSCG00000017566_ENSSSCT00000019121_162_2040_2230,18,47,58,40,66,58,517,440,1093,867
ACSF3_ENSSSCG00000023866_ENSSSCT00000065079_199_2335_4693,8,13,25,7,17,24,103,161,253,236
ACSL1_ENSSSCG00000015784_ENSSSCT00000058100_343_2656_4114,66,56,46,61,86,92,98,20,279,471
ACSL3_ENSSSCG00000016223_ENSSSCT00000101017_93_2280_2283,3,15,11,10,17,5,50,1,111,163
ACSL4_ENSSSCG00000012583_ENSSSCT00000051623_211_2344_5071,64,62,85,58,151,82,371,67,650,530
ACSL5_ENSSSCG00000031789_ENSSSCT00000026254_451_2500_2782,25,54,42,55,93,54,683,417,1304,1096
ACSL6_ENSSSCG00000014272_ENSSSCT00000076510_105_2271_5758,2,2,0,3,0,0,1,0,4,5
ACSM4_ENSSSCG00000030033_ENSSSCT00000027442_169_1909_2243,1,0,0,0,0,0,0,0,0,0
ACSM5_ENSSSCG00000026453_ENSSSCT00000027749_143_1880_3293,0,1,1,2,1,0,2,0,0,0
ACSS1_ENSSSCG00000007133_ENSSSCT00000044534_27_2136_5544,26,40,38,44,45,38,360,456,677,751
ACSS2_ENSSSCG00000007286_ENSSSCT00000048008_192_2334_3081,19,24,26,16,46,27,137,90,266,311
ACSS3_ENSSSCG00000000939_ENSSSCT00000059893_190_2167_4493,3,3,9,1,4,4,9,0,52,71
ACTA1_ENSSSCG00000010190_ENSSSCT00000040776_116_1247_1488,0,0,0,1,0,1,0,10,0,3
ACTA2_ENSSSCG00000010447_ENSSSCT00000049256_0_1116_1682,10,3,4,3,0,4,57,27,24,24
ACTB_ENSSSCG00000007585_ENSSSCT00000042531_90_1215_5270,1774,3118,2620,2031,3693,2522,23884,28599,46234,50205
ACTC1_ENSSSCG00000004803_ENSSSCT00000005302_94_1225_1399,0,0,0,0,0,0,1,0,0,0
ACTG1_ENSSSCG00000028355_ENSSSCT00000025260_133_1258_1993,897,1325,990,1153,2592,1310,16197,16122,20999,22264
ACTG2_ENSSSCG00000008294_ENSSSCT00000064546_0_1251_1916,3,0,0,3,1,3,4,5,5,2
ACTL6A_ENSSSCG00000011762_ENSSSCT00000012873_117_1404_2968,10,4,16,8,33,8,198,44,331,345
ACTL7B_ENSSSCG00000005438_ENSSSCT00000005982_0_1251_1254,0,1,1,0,0,1,0,0,0,0
ACTL8_ENSSSCG00000024062_ENSSSCT00000027644_456_1551_1876,0,0,0,0,1,0,0,0,0,0
