Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000093715,0.138760707117456,2.61274238034066,4.23489387737075,up,ENSSSCG00000017866,TAX1BP3,protein_coding,Tax1 binding protein 3 [Source:VGNC Symbol;Acc:VGNC:93755]
ENSSSCT00000093731,1.68699543404073,0.325237109204493,-2.37489228701557,down,ENSSSCG00000000077,ADSL,protein_coding,adenylosuccinate lyase [Source:NCBI gene (formerly Entrezgene);Acc:100170844]
ENSSSCT00000093762,1.40577832029221,0.820609947465742,-0.77660056331979,down,ENSSSCG00000056031,LSM12,protein_coding,LSM12 homolog [Source:UniProtKB Gene Name;Acc:A0A8W4FFA0]
ENSSSCT00000093817,1.5495093937919,0.805992496267749,-0.942973188646832,down,ENSSSCG00000057663,,protein_coding,
ENSSSCT00000093844,4.33929659492885,1.93733630412302,-1.16338678452486,down,ENSSSCG00000052127,SP140,protein_coding,SP140 nuclear body protein [Source:UniProtKB Gene Name;Acc:A0A8W4FK58]
ENSSSCT00000093939,4.91973773778423,1.20084931516725,-2.03452627987081,down,ENSSSCG00000009683,KIF13B,protein_coding,kinesin family member 13B [Source:VGNC Symbol;Acc:VGNC:89455]
ENSSSCT00000094146,4.43373573857527,18.1796892140747,2.03573284679282,up,ENSSSCG00000053490,,protein_coding,
ENSSSCT00000094159,1.17315496998516,0.626396548391887,-0.905245433175212,down,ENSSSCG00000015889,TANK,protein_coding,TRAF family member associated NFKB activator [Source:UniProtKB Gene Name;Acc:A0A8W4FDB4]
ENSSSCT00000094206,0.185831691812503,3.73597596518024,4.3294167081076,up,ENSSSCG00000059202,CCDC71L,protein_coding,coiled-coil domain containing 71 like [Source:UniProtKB Gene Name;Acc:A0A4X1V2E0]
ENSSSCT00000094207,5.73275302869636,1.21783647548379,-2.23490769905333,down,ENSSSCG00000015689,DARS1,protein_coding,aspartyl-tRNA synthetase 1 [Source:VGNC Symbol;Acc:VGNC:96140]
ENSSSCT00000094299,6.0777825256444,3.17982946522972,-0.934595657858532,down,ENSSSCG00000013517,UHRF1,protein_coding,ubiquitin like with PHD and ring finger domains 1 [Source:VGNC Symbol;Acc:VGNC:94689]
ENSSSCT00000094308,1.61939235488478,9.13623276841447,2.49614683571536,up,ENSSSCG00000039842,ZSCAN25,protein_coding,zinc finger and SCAN domain containing 25 [Source:VGNC Symbol;Acc:VGNC:95329]
ENSSSCT00000094363,2.05011004644705,8.88906212567023,2.11632985680964,up,ENSSSCG00000057183,TUG1,protein_coding,taurine up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:26066]
ENSSSCT00000094396,2.25198822443055,1.18355800333696,-0.928068872808551,down,ENSSSCG00000060402,ZBTB9,protein_coding,zinc finger and BTB domain containing 9 [Source:UniProtKB Gene Name;Acc:A0A4X1T879]
ENSSSCT00000094428,0.0817784510723848,0.924303200261036,3.49857353540224,up,ENSSSCG00000007914,METTL22,protein_coding,"methyltransferase 22, Kin17 lysine [Source:VGNC Symbol;Acc:VGNC:90160]"
ENSSSCT00000094443,2.52117953309395,1.43358192830899,-0.814474500058622,down,ENSSSCG00000036115,PPP3R1,protein_coding,"protein phosphatase 3 regulatory subunit B, alpha [Source:VGNC Symbol;Acc:VGNC:106453]"
ENSSSCT00000094486,1.71942187907511,0.957878441771961,-0.844009079862945,down,ENSSSCG00000010896,ASPM,protein_coding,assembly factor for spindle microtubules [Source:UniProtKB Gene Name;Acc:A0A8W4FIU5]
ENSSSCT00000094590,5.88160144203705,0.880797339607555,-2.73932700900345,down,ENSSSCG00000032498,IDH3A,protein_coding,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:UniProtKB Gene Name;Acc:A0A8W4FIK7]
ENSSSCT00000094598,2.17933412958892,38.9676851278334,4.16031892226171,up,ENSSSCG00000062725,,protein_coding,
ENSSSCT00000094770,4.15149744335619,1.35582305167426,-1.61446290503831,down,ENSSSCG00000011243,GOLGA4,protein_coding,golgin A4 [Source:VGNC Symbol;Acc:VGNC:88551]
ENSSSCT00000094832,0.617499558153651,0.090819617504328,-2.76536223855312,down,ENSSSCG00000032381,,protein_coding,lipopolysaccharide induced TNF factor [Source:VGNC Symbol;Acc:VGNC:98073]
