,H6,H7,W10,W6
ENSSSCT00000000821,12.33559194,30.84963578,12.73095804,13.62196813
ENSSSCT00000055558,9.249297766,11.13726095,0,19.91696855
ENSSSCT00000075864,41.48386699,40.20489673,40.72499837,32.68143458
ENSSSCT00000014648,19.48256338,7.037801071,17.42606313,34.96063628
ENSSSCT00000068751,11.68671242,12.63299752,13.06638816,15.25186279
ENSSSCT00000034395,49.14622334,56.57890121,17.82103283,17.87651755
ENSSSCT00000036846,0,0.676434868,0,0
ENSSSCT00000011015,0.884715438,3.728561276,7.913284707,0
ENSSSCT00000007436,2.303598689,0,0,0
ENSSSCT00000053127,113.9513485,21.23504422,12.13370322,43.81733081
ENSSSCT00000100509,72.95965183,36.38321305,52.73400191,47.60836748
ENSSSCT00000013018,20.4621336,19.71108531,22.87779238,40.390277
ENSSSCT00000070466,10.66812208,7.136497311,5.301132474,4.254109787
ENSSSCT00000004030,28.65131308,23.77675711,6.926215367,0
ENSSSCT00000095446,1.752498524,8.968425926,3.918779747,3.144784508
ENSSSCT00000017229,2.699795023,0,0,0
ENSSSCT00000044242,40.69691017,48.4826296,58.0868771,46.61418171
ENSSSCT00000093731,53.14537681,33.29385892,9.635587849,15.46494028
ENSSSCT00000048163,2.289201197,0.918824029,0,0
ENSSSCT00000041198,33.85709333,40.3047179,10.32384412,33.13915775
ENSSSCT00000001142,0,0.9587729,7.121956236,5.715304018
ENSSSCT00000018236,4.498079545,0.386873275,2.873771815,4.612350611
ENSSSCT00000000632,59.14512042,58.34711342,63.73735153,58.82093046
ENSSSCT00000005624,12.39690494,10.17774309,0,8.08935338
ENSSSCT00000083150,0.480672167,0.289393395,0,0
ENSSSCT00000039817,1.767296461,2.128036351,5.927804346,3.17133878
ENSSSCT00000039396,2.018028603,0.971979138,0.902506851,1.448506804
ENSSSCT00000073192,14.14405888,18.62780814,10.5425579,13.74799599
ENSSSCT00000041296,1.401194306,1.181043893,0,1.005753576
ENSSSCT00000064001,76.64801452,95.46376171,64.10898305,89.24456354
ENSSSCT00000025744,19.50934353,23.11268691,9.850815756,12.42243915
ENSSSCT00000022746,11.18957815,13.47359065,6.672301158,2.677229988
ENSSSCT00000009950,20.64668498,23.12080307,18.46730478,19.2657937
