Transcript,TE_H,TE_W,log2_fold_change,regulation
ENSSSCT00000003000,0.679469805419603,0.457792900635895,-0.569714351265073,down
ENSSSCT00000003002,0.667827035973536,6.81262482954836,3.35066435487083,up
ENSSSCT00000003017,3.0663466253525,2.12282267772938,-0.530536925070555,down
ENSSSCT00000003036,8.36731140121639,0.932000802075021,-3.16636102643514,down
ENSSSCT00000003056,2.78581379182851,0.531114042000539,-2.39100525103225,down
ENSSSCT00000003059,1.98009712881938,0.650906632664077,-1.60504867960392,down
ENSSSCT00000003069,2.69839835825153,0.563849183591787,-2.25872211340035,down
ENSSSCT00000003090,0.408716503656514,5.66268423491653,3.79231367931633,up
ENSSSCT00000003092,0.736294312051127,3.1763765815047,2.10902750243839,up
ENSSSCT00000003102,13.1182177543317,1.34159991248096,-3.28954532320127,down
ENSSSCT00000003105,0.841076697365634,0.421966221317807,-0.995109850284037,down
ENSSSCT00000003147,3.40213447154714,1.46893220449163,-1.21167235273114,down
ENSSSCT00000003151,0.21531979097011,1.65255235686932,2.94014314550516,up
ENSSSCT00000003160,4.23760615284563,2.1268928592763,-0.994502148102148,down
ENSSSCT00000003166,6.88298145499524,3.80200390388648,-0.856273609522966,down
ENSSSCT00000003167,0.660748564760975,5.12592103089834,2.95563796163079,up
ENSSSCT00000003181,1.00005639107383,0.482916549402093,-1.05023554264167,down
ENSSSCT00000003202,5.1609441834243,2.08805167488072,-1.3054776116769,down
ENSSSCT00000003223,0.0974685341422476,5.12265949208731,5.71581264004139,up
ENSSSCT00000003232,2.99412359035402,0.522093290381785,-2.51975425037282,down
ENSSSCT00000003260,0.00739081791028618,1.479262693827,7.64492852972488,up
ENSSSCT00000003297,1.10039022013768,5.0575229012455,2.20041572486205,up
ENSSSCT00000003330,4.36989772379446,1.16861651852454,-1.90279792706181,down
ENSSSCT00000003340,0.864319119070853,6.36100007341289,2.87961762351853,up
ENSSSCT00000003371,1.72899849840728,0.549758053888603,-1.65306787638101,down
ENSSSCT00000003396,2.49086704771926,1.66605404912452,-0.580212813973172,down
ENSSSCT00000003444,1.74886451346555,12.580309339045,2.8466769658241,up
ENSSSCT00000003446,1.01021399055341,0.42450472051079,-1.25080842523515,down
ENSSSCT00000003470,1.50089303927525,0.920934408551473,-0.704650854930198,down
ENSSSCT00000003477,1.30473415880463,6.15037040593177,2.23691741350551,up
ENSSSCT00000003479,1.85746453483156,19.9263434322027,3.42327042356036,up
ENSSSCT00000003487,2.60922000171564,0.245842435688181,-3.40781272231107,down
ENSSSCT00000003502,2.81113447533743,1.93305362848464,-0.540270806481462,down
ENSSSCT00000003504,4.65618355411261,2.09766200389762,-1.15036569737453,down
ENSSSCT00000003535,0.629864031526981,4.21199772008369,2.74139232205866,up
ENSSSCT00000003581,2.44110161817644,15.2421302316528,2.64246028918988,up
ENSSSCT00000003600,6.42686157259186,2.96555985756792,-1.11580990688885,down
ENSSSCT00000003612,1.29728478629164,0.789406512976955,-0.716654894509193,down
ENSSSCT00000003621,1.77135472114816,7.72495767104066,2.12467388107955,up
ENSSSCT00000003628,0.469860284371702,6.74383742232835,3.84326602470269,up
ENSSSCT00000003629,0.442506170475236,0.0774231296673944,-2.51486104098885,down
ENSSSCT00000003630,2.22463936467778,16.6700125168481,2.90561180210782,up
ENSSSCT00000003665,0.53587602214885,3.6697335670972,2.77570415417772,up
ENSSSCT00000003681,1.38583582154069,7.69376540989594,2.47293348809456,up
ENSSSCT00000003736,2.614413449654,0.5695484805023,-2.19859675462023,down
ENSSSCT00000003739,1.56416465776649,0.973643715975822,-0.683926540746048,down
ENSSSCT00000003755,2.31719767429196,1.42976846483274,-0.696599584694143,down
ENSSSCT00000003772,0.958783185082258,8.06190417954252,3.07184412334495,up
ENSSSCT00000003777,1.5217422949114,0.392474340850484,-1.95505381916514,down
ENSSSCT00000003807,1.3012020582845,0.734197340214445,-0.825605216505424,down
ENSSSCT00000003863,1.82349458921204,0.629628931577295,-1.5341321792135,down
ENSSSCT00000003878,1.94330909916984,1.18938897792347,-0.70829478017073,down
ENSSSCT00000003879,0.218736602043616,2.31068107520494,3.40105159245544,up
ENSSSCT00000003881,3.53197067696144,2.20935698138553,-0.676846821591784,down
ENSSSCT00000003906,5.27802510919246,0.897290116455722,-2.55635178876184,down
ENSSSCT00000003923,1.78508022307009,0.381745869830152,-2.22530445822121,down
ENSSSCT00000003975,4.45979857005783,1.28582919909712,-1.79427953379346,down
ENSSSCT00000003977,0.337004266843178,3.647849450501,3.4362074268835,up
ENSSSCT00000003979,3.41868471868757,2.39013973340532,-0.516346415115101,down
ENSSSCT00000003995,0.091029673758796,4.14560555052706,5.50910213180699,up
ENSSSCT00000004017,1.57090583648668,0.923891092641146,-0.76580200161779,down
ENSSSCT00000004030,2.529385647299,0.399480795842775,-2.66258896129259,down
